UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Gate.lN.22 	 at time 0.0.
Transport.ra3.49 	 moves for 2936.4281904883683 	 Bus.b.55 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 0.0.
Bus.b.55 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 generates 	 Bus.b.62 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.62 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.61 	 at time 0.0.
Transport.ra3.49 	 moves for 2964.7024424746633 	 Bus.b.61 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.61 	 at time 0.0.
Bus.b.61 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 generates 	 Bus.b.63 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.63 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.62 	 at time 0.0.
Transport.ra0.36 	 moves for 2959.9177633412182 	 Bus.b.62 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.62 	 at time 0.0.
Bus.b.62 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 generates 	 Bus.b.64 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.64 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.63 	 at time 0.0.
Transport.ra3.49 	 moves for 3057.1276207454503 	 Bus.b.63 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.63 	 at time 0.0.
Bus.b.63 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 generates 	 Bus.b.65 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.65 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.64 	 at time 0.0.
Transport.ra0.36 	 moves for 3065.5896151438355 	 Bus.b.64 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.64 	 at time 0.0.
Bus.b.64 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 generates 	 Bus.b.66 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.66 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.56 	 at time 0.0.
Transport.ra3.49 	 moves for 3030.2525888197124 	 Bus.b.56 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.56 	 at time 0.0.
Bus.b.56 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 generates 	 Bus.b.67 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.67 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.65 	 at time 0.0.
Transport.ra3.49 	 moves for 3014.673115313053 	 Bus.b.65 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.65 	 at time 0.0.
Bus.b.65 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 generates 	 Bus.b.68 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.68 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.66 	 at time 0.0.
Transport.ra3.49 	 moves for 2910.7179357670248 	 Bus.b.66 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.66 	 at time 0.0.
Bus.b.66 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 generates 	 Bus.b.69 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.69 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 generates 	 Bus.b.70 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.70 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 generates 	 Bus.b.71 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.71 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 generates 	 Bus.b.72 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.72 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 generates 	 Bus.b.73 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.73 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 generates 	 Bus.b.74 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.74 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 generates 	 Bus.b.75 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.75 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 generates 	 Bus.b.76 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.76 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 generates 	 Bus.b.77 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.77 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.67 	 at time 0.0.
Transport.ra0.36 	 moves for 3002.87271393463 	 Bus.b.67 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.67 	 at time 0.0.
Bus.b.67 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 generates 	 Bus.b.78 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.78 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.77 	 at time 0.0.
Transport.ra0.36 	 moves for 2934.9768141284585 	 Bus.b.77 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.77 	 at time 0.0.
Bus.b.77 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 generates 	 Bus.b.79 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.79 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.78 	 at time 0.0.
Transport.ra3.49 	 moves for 3004.8953727819026 	 Bus.b.78 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.78 	 at time 0.0.
Bus.b.78 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 generates 	 Bus.b.80 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.80 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.79 	 at time 0.0.
Transport.ra0.36 	 moves for 3013.8817518018186 	 Bus.b.79 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.79 	 at time 0.0.
Bus.b.79 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 generates 	 Bus.b.81 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.81 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.80 	 at time 0.0.
Transport.ra3.49 	 moves for 3038.782765995711 	 Bus.b.80 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.80 	 at time 0.0.
Bus.b.80 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 generates 	 Bus.b.82 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.82 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.81 	 at time 0.0.
Transport.ra0.36 	 moves for 3005.180158931762 	 Bus.b.81 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.81 	 at time 0.0.
Bus.b.81 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 generates 	 Bus.b.83 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.83 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.82 	 at time 0.0.
Transport.ra3.49 	 moves for 3066.9413885101676 	 Bus.b.82 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.82 	 at time 0.0.
Bus.b.82 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 generates 	 Bus.b.84 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.84 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.83 	 at time 0.0.
Transport.ra0.36 	 moves for 2950.7381395436823 	 Bus.b.83 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.83 	 at time 0.0.
Bus.b.83 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 generates 	 Bus.b.85 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.85 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.84 	 at time 0.0.
Transport.ra3.49 	 moves for 2918.9775317907333 	 Bus.b.84 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.84 	 at time 0.0.
Bus.b.84 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.68 	 at time 0.0.
Transport.ra0.36 	 moves for 2933.4266871213913 	 Bus.b.68 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.68 	 at time 0.0.
Bus.b.68 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 generates 	 Bus.b.86 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.86 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.85 	 at time 0.0.
Transport.ra0.36 	 moves for 2914.789698459208 	 Bus.b.85 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.85 	 at time 0.0.
Bus.b.85 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 generates 	 Bus.b.87 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.87 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.86 	 at time 0.0.
Transport.ra3.49 	 moves for 3058.9304925873876 	 Bus.b.86 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.86 	 at time 0.0.
Bus.b.86 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sW.10 	 at time 0.0.
Source.sW.10 	 generates 	 Bus.b.88 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.88 	 at time 0.0.
Source.sW.10 	 terminates 	 at time 0.0.
Source.sW.10 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.87 	 at time 0.0.
Transport.ra0.36 	 moves for 3097.20675079152 	 Bus.b.87 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.87 	 at time 0.0.
Bus.b.87 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 generates 	 Bus.b.89 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.89 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sN.4 	 at time 0.0.
Source.sN.4 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 resumes 	 Bus.b.88 	 at time 0.0.
Transport.ra3.49 	 moves for 2979.495861567557 	 Bus.b.88 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.88 	 at time 0.0.
Bus.b.88 	 resumes 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
